Age ,Sex ,Program of study,College,Level Study,Branch,Have a job,Attending method prefer more,experience in handling e-Learning platform tools,total number of lectures prefer to attend daily ,frequently contact instructor to ask inquiries ,motivated using the interfaces of the e-Learning Platform? ,interested in revising the recorded lectures on the e-Learning platform ,learning resource preferred most,Type of assessment activity preferred most? ,Preferred  semantic density (amount of content) displayed in a single power point slide,Preferred electronic device to access the course contents,Preferred background color for your e-Learning platform? ,Preferred text color for your course text contents? ,preferred level of interactivity type 
33,1,1,1,1,1,1,3,1,1,2,3,3,8,7,3,4,2,3,4
26,1,5,2,4,7,2,1,1,7,2,2,2,2,4,2,1,1,3,2
28,1,5,2,5,7,1,2,1,3,1,1,1,6,1,2,2,1,1,1
31,1,5,2,4,7,1,3,1,4,2,1,3,2,4,2,3,2,10,2
20,1,5,2,4,7,2,3,1,6,1,3,1,1,4,1,1,2,2,2
37,1,5,2,4,7,1,2,1,3,2,1,1,6,2,1,2,1,4,3
32,1,5,2,4,7,1,2,1,2,2,1,3,6,1,3,1,3,1,2
20,1,5,2,4,7,2,3,1,6,1,3,1,1,4,1,1,2,2,2
24,1,5,2,5,7,1,2,2,3,2,3,3,1,4,2,2,3,1,3
20,1,5,2,4,7,2,3,1,5,1,3,1,2,4,1,2,3,1,2
29,1,5,2,4,7,1,2,2,4,2,3,3,4,6,2,2,3,3,3
27,1,5,2,4,7,1,2,1,3,2,3,3,1,1,2,2,1,5,3
29,1,14,2,9,7,1,3,1,2,1,3,2,2,7,2,2,3,1,1
32,1,14,2,1,7,1,3,1,1,2,1,1,1,1,2,2,3,1,2
32,1,14,2,1,7,1,2,2,2,3,1,1,5,5,2,2,3,1,2
51,1,13,2,9,7,1,3,1,2,2,1,1,1,1,2,1,2,3,1
30,1,14,2,9,7,1,2,2,1,2,3,1,5,1,2,4,3,1,2
25,1,14,2,9,7,1,1,1,1,1,1,3,2,1,2,2,3,1,1
26,1,14,2,9,7,1,1,1,2,2,3,2,5,5,2,2,3,1,2
37,1,14,2,9,7,1,2,1,2,2,3,3,5,1,2,1,3,1,2
40,1,14,2,9,7,1,2,1,3,2,1,1,6,1,2,2,3,1,2
27,1,14,2,9,7,1,3,1,1,2,1,3,1,1,1,1,1,3,1
40,1,13,2,1,7,1,3,1,2,2,1,1,1,1,2,2,3,1,1
33,1,7,3,3,7,1,3,2,3,2,3,3,1,2,2,2,3,1,3
23,1,5,2,3,7,1,3,1,3,2,3,2,7,1,2,4,3,1,2
33,1,5,2,3,7,1,3,2,3,2,3,3,6,1,2,2,3,2,2
26,1,5,2,3,7,1,3,2,3,2,3,1,2,1,2,1,1,3,3
30,1,5,2,3,7,1,3,2,3,2,3,1,2,6,2,2,3,1,1
28,1,5,2,3,7,1,2,2,3,2,2,3,6,2,2,2,2,1,2
28,1,5,2,3,7,1,2,2,4,2,1,1,6,4,2,2,3,1,3
28,1,5,2,3,7,1,1,2,2,2,3,1,5,2,2,2,3,1,2
27,1,5,2,3,7,1,2,1,3,2,1,1,1,4,2,3,3,1,2
33,1,5,2,3,7,1,3,2,2,2,3,1,1,6,2,2,3,2,2
24,1,5,2,3,7,2,3,2,2,2,2,2,5,3,3,1,4,4,2
26,1,5,4,3,7,1,2,2,2,2,3,3,1,2,2,1,1,1,3
38,1,5,2,3,7,1,3,1,4,2,1,1,1,3,1,1,2,1,3
27,1,5,2,3,7,1,2,2,3,2,3,3,2,2,1,2,3,1,2
26,1,5,2,3,7,1,1,2,3,3,2,2,6,5,1,2,1,2,4
34,1,7,3,7,7,1,2,2,3,1,3,1,7,4,2,2,3,1,3
33,1,7,3,7,7,1,3,1,3,2,1,1,7,4,2,4,1,3,2
26,1,6,2,5,7,2,1,1,6,3,3,1,5,6,3,1,3,1,1
22,1,5,2,6,7,2,3,1,1,2,3,2,2,1,3,2,2,4,4
33,1,7,3,6,7,1,2,1,3,2,1,2,1,4,2,3,2,5,2
38,1,7,3,6,7,1,3,1,4,2,3,3,2,2,2,2,3,1,1
31,1,5,2,4,7,1,3,1,4,2,1,3,2,4,2,3,2,10,2
30,1,14,2,9,7,1,2,2,1,2,3,1,5,1,2,4,3,1,2
27,2,9,2,3,6,2,3,2,4,2,3,2,2,4,2,3,3,2,1
28,1,5,2,3,7,1,1,1,3,2,3,3,6,1,2,2,3,9,2
29,1,5,2,3,7,2,2,2,7,1,1,3,2,6,1,2,1,3,1
42,1,9,4,1,4,1,3,1,3,2,3,3,1,1,2,1,3,1,3
31,1,5,2,8,7,1,3,1,3,2,1,3,2,6,2,2,1,3,2
25,2,5,2,6,3,2,3,1,4,2,3,3,1,7,2,2,3,1,3
30,2,5,2,8,3,2,2,2,3,1,2,3,6,2,2,2,3,1,3
40,1,8,3,3,1,1,2,2,3,2,3,3,3,2,2,2,3,11,2
27,1,5,2,5,7,1,2,2,4,2,3,1,1,1,3,2,1,3,1
22,2,8,3,7,7,2,1,1,6,2,3,2,8,3,2,1,1,11,2
28,2,8,3,7,7,2,2,1,4,2,3,3,8,1,2,1,3,1,2
41,2,8,3,7,7,1,2,1,4,1,3,3,4,1,2,2,3,2,1
25,1,5,2,4,7,1,2,2,4,3,3,3,4,4,2,2,1,2,3
22,2,8,3,7,7,2,2,1,3,1,2,3,1,4,2,2,3,1,2
35,1,6,2,4,7,1,2,1,6,2,3,1,5,1,2,2,3,1,1
36,1,5,2,5,7,1,3,2,4,2,3,3,1,4,2,2,3,1,2
33,1,5,2,3,7,1,2,2,4,2,3,3,2,2,2,2,1,3,2
30,1,8,3,7,4,1,2,1,3,2,1,2,5,4,2,1,1,1,2
25,1,1,1,5,5,1,2,2,2,2,3,3,1,1,2,4,3,1,3
27,1,5,2,5,7,1,2,2,4,2,3,1,1,1,3,2,1,11,1
28,1,1,1,3,7,1,2,1,4,1,1,3,5,1,1,4,1,1,2
32,1,9,4,3,7,1,2,1,4,1,1,1,7,1,1,2,1,3,2
41,1,5,2,8,7,1,2,1,3,2,1,1,6,6,1,2,3,1,1
31,2,11,4,5,6,2,2,1,3,2,3,1,1,2,2,2,3,1,3
45,2,11,4,5,6,2,3,1,3,1,1,1,1,1,2,3,4,1,1
27,1,11,4,5,7,2,2,2,5,2,3,1,1,4,2,3,1,3,3
27,2,11,4,5,6,2,1,1,4,2,3,1,7,4,2,2,3,11,2
16,2,11,4,7,6,1,3,2,3,3,3,1,5,7,2,3,2,11,2
45,2,11,4,7,6,2,2,1,5,2,1,1,1,4,1,2,1,3,3
24,2,11,4,6,6,2,1,1,3,1,3,1,7,4,2,3,2,1,1
24,1,11,4,4,7,1,2,1,4,1,1,3,2,4,2,2,3,1,2
30,2,11,4,5,6,2,3,1,4,2,3,3,5,4,2,2,2,2,2
30,1,11,4,3,7,1,3,1,6,1,1,1,1,1,1,2,3,1,1
33,1,11,4,3,7,1,3,2,4,1,3,2,2,1,2,2,1,1,1
24,1,5,2,7,7,1,2,1,4,2,1,3,6,1,2,1,2,1,3
28,1,5,2,7,7,2,3,2,3,2,3,3,5,1,2,2,5,2,2
36,1,5,2,7,7,1,3,1,4,2,1,1,1,4,2,3,9,3,1
37,1,5,2,7,7,1,3,1,7,2,1,1,2,4,2,2,1,3,2
33,1,5,2,7,7,1,3,2,3,3,3,3,1,7,2,4,3,11,1
45,1,5,2,7,7,1,2,2,4,1,1,3,1,1,2,3,3,11,3
30,1,5,2,7,7,1,3,1,5,1,1,1,5,2,2,2,3,11,2
25,1,5,2,7,7,1,3,1,6,2,1,1,1,4,2,1,3,2,2
28,1,5,2,3,7,1,3,1,4,2,1,3,8,1,3,2,2,3,3
24,1,5,2,3,7,1,2,2,4,2,3,1,1,2,2,2,1,5,2
35,1,5,2,7,7,1,3,2,4,2,3,3,5,4,2,2,1,3,1
24,1,5,2,3,7,1,2,2,2,2,3,3,5,1,2,1,1,1,2
29,1,5,2,3,7,1,2,2,5,2,3,3,6,3,2,2,2,3,2
25,1,5,2,3,7,1,3,1,3,2,3,2,7,4,2,3,3,11,2
24,1,5,2,3,7,2,3,2,3,2,2,2,5,3,3,1,4,11,1
27,2,11,4,5,6,2,3,1,4,2,3,3,7,4,2,2,3,1,2
33,1,5,2,3,7,1,2,2,4,2,3,3,6,1,2,2,1,2,2
38,1,5,2,7,7,1,2,1,7,2,3,3,6,4,2,4,1,3,1
26,1,11,4,5,7,1,2,2,4,2,3,3,1,4,3,4,3,11,2
43,1,11,4,3,7,1,2,2,2,2,3,1,1,1,2,2,3,1,3
27,1,5,2,5,7,1,2,1,4,2,3,1,2,1,2,1,3,1,2
19,1,5,2,3,7,2,2,1,2,2,1,1,1,4,2,1,3,1,2
29,1,3,2,3,7,1,3,3,5,2,3,1,7,6,2,2,2,2,2
19,1,5,2,3,7,1,2,3,2,3,2,3,7,4,2,4,2,1,1
26,1,5,2,3,7,1,2,1,4,2,1,1,5,4,1,2,2,1,4
27,1,5,2,3,7,2,1,2,3,2,3,1,1,1,1,4,3,3,1
24,1,5,2,3,7,1,2,2,4,2,1,1,1,2,2,2,1,5,2
35,1,5,2,3,7,1,3,1,5,2,3,3,5,2,2,3,3,11,2
23,1,5,2,6,7,2,1,2,4,2,2,1,2,2,2,1,1,5,1
33,1,5,2,7,7,1,2,1,5,2,1,2,1,4,1,2,3,1,3
33,1,5,2,6,7,1,3,1,4,2,3,2,6,6,1,2,2,1,4
39,1,7,3,5,7,1,3,1,3,2,3,3,5,7,3,4,3,1,2
36,1,7,3,6,7,1,3,2,2,2,3,1,1,1,2,2,4,11,2
32,1,5,2,5,7,2,3,1,4,2,3,1,6,4,2,2,10,1,2
33,2,11,4,5,6,1,2,2,3,3,1,1,1,2,2,2,3,1,2
32,1,7,3,7,7,1,2,1,4,1,1,1,1,6,2,2,4,1,2
28,1,11,4,5,7,1,3,2,3,2,2,3,1,4,2,2,1,1,2
32,1,5,2,7,7,2,3,2,4,2,3,3,7,4,2,2,3,11,2
40,1,5,2,8,7,1,3,1,5,2,3,1,5,7,2,2,3,2,2
43,1,5,2,7,7,1,3,1,4,1,1,3,1,1,2,2,3,3,2
23,1,5,2,7,7,2,2,1,5,2,1,3,1,4,1,1,3,1,2
55,1,11,1,3,7,2,2,2,4,2,3,1,2,2,2,2,1,3,2
34,1,1,1,7,3,1,2,1,3,1,1,1,1,3,2,2,3,1,3
57,1,1,1,8,3,2,2,2,2,2,1,3,1,2,2,2,3,2,2
35,1,1,1,7,5,1,3,2,4,2,3,3,1,4,2,2,3,5,4
23,1,8,4,3,4,1,2,2,3,2,1,1,7,4,2,2,2,1,3
37,1,8,3,3,4,1,3,2,3,2,1,3,3,3,1,2,3,1,3
26,1,1,1,5,5,2,1,1,4,2,1,1,2,2,1,1,6,1,1
27,1,1,1,6,5,1,2,2,3,2,1,3,6,2,2,1,1,2,2
30,1,1,1,5,5,1,2,1,4,2,1,1,7,1,2,2,2,3,2
41,1,1,1,5,5,1,3,1,5,1,3,2,7,2,2,2,1,11,2
30,1,1,1,5,5,1,2,1,3,2,3,3,1,4,2,3,3,1,2
26,1,5,2,4,7,2,3,2,7,2,3,3,2,4,2,3,2,1,1
27,1,5,2,4,7,1,3,2,3,2,3,3,6,1,2,2,2,3,3
30,1,5,2,4,7,1,3,2,4,2,3,3,6,1,3,2,3,1,2
37,1,1,1,5,5,1,2,2,4,1,3,3,1,1,2,2,3,11,3
28,1,5,2,4,7,1,2,1,2,1,1,1,5,4,1,2,1,3,2
30,1,1,1,8,5,1,3,1,4,1,3,1,1,4,2,1,3,1,2
33,1,5,2,4,7,1,2,2,4,2,1,3,7,2,2,2,3,1,2
25,1,5,2,4,7,1,2,1,4,2,1,3,3,4,1,1,2,1,2
30,2,11,4,5,6,2,3,1,4,2,3,3,5,4,2,2,2,2,2
30,2,14,2,9,6,1,3,2,3,1,1,2,1,2,2,3,3,1,1
36,1,14,2,9,7,1,2,1,3,2,1,1,1,1,2,1,10,1,1
28,2,14,2,9,6,1,2,1,1,2,1,1,4,7,2,2,3,11,1
26,1,5,2,7,7,2,3,2,4,2,3,2,6,1,2,1,3,2,3
42,1,5,2,8,7,1,2,1,3,2,1,1,6,6,1,2,3,1,1
33,1,5,2,4,7,1,2,1,4,3,1,1,6,4,2,2,3,1,2
28,2,8,2,9,7,1,2,2,2,2,1,1,1,4,2,2,1,3,2
25,2,13,2,9,7,2,1,2,4,2,3,1,1,6,2,2,3,1,3
26,2,16,2,9,7,2,1,2,3,1,1,3,6,2,2,2,3,1,1
21,2,5,2,5,7,2,2,2,4,2,3,1,1,1,2,2,3,2,2
19,2,5,2,5,7,1,2,1,4,2,1,1,6,1,1,2,3,1,1
21,2,5,2,4,7,2,2,2,3,2,3,1,1,1,2,2,3,2,2
22,2,5,2,6,7,1,2,2,4,1,1,1,1,1,1,2,3,1,2
24,2,5,2,6,7,1,2,2,4,1,1,1,6,1,2,2,3,2,3
21,2,7,3,6,7,2,2,2,5,2,1,1,1,1,1,2,3,2,3
21,2,8,3,7,7,1,2,1,4,1,3,1,1,1,2,3,3,2,2
23,2,8,3,7,7,2,2,2,4,2,1,3,6,5,1,2,5,2,2
21,2,8,3,6,6,1,2,2,4,2,3,3,6,5,1,2,3,1,2
22,2,7,3,6,6,1,2,2,3,1,1,1,1,5,1,2,3,2,2
21,2,7,3,6,6,1,2,1,3,2,1,1,1,1,1,2,3,8,2
20,2,8,3,3,6,2,2,2,3,2,3,1,8,5,1,2,3,2,1
22,2,8,3,4,6,2,2,2,3,2,3,1,1,1,1,2,3,1,2
21,2,7,3,4,4,1,2,2,3,1,3,3,1,5,2,2,3,2,3
23,2,8,3,4,6,1,2,1,4,1,3,3,1,5,2,3,3,1,2
24,2,12,1,9,7,1,2,2,3,2,1,1,8,5,1,2,2,1,2
22,2,12,1,9,7,1,2,1,3,1,1,1,6,5,1,2,3,2,2
23,2,12,1,9,7,1,2,2,3,2,3,3,2,5,2,2,3,1,2
24,2,12,1,9,4,1,2,2,3,2,3,3,1,5,2,2,3,2,3
25,2,12,1,9,4,1,2,2,3,2,3,1,1,5,2,3,3,1,3
24,2,12,1,9,4,1,2,1,3,1,3,1,6,5,2,3,3,2,2
24,2,16,1,9,6,1,3,2,3,2,3,3,1,5,2,2,3,1,2
24,2,12,1,9,6,1,2,2,3,2,3,1,6,5,2,2,3,1,2
25,2,12,1,9,6,1,3,2,3,2,3,3,1,1,2,3,3,2,2
25,2,12,1,9,6,1,2,2,2,2,3,3,8,5,2,2,3,1,2
24,2,16,3,9,7,1,2,2,2,2,3,3,1,1,2,2,3,2,2
23,2,16,3,9,6,1,2,2,3,2,1,1,1,5,2,2,3,1,2
23,2,12,1,9,6,2,3,2,3,2,3,3,1,5,1,2,3,1,2
25,2,12,1,9,7,1,2,2,3,2,1,3,1,5,2,2,3,1,2
23,2,14,2,9,7,1,2,2,2,2,3,3,1,5,2,2,3,1,2
24,2,14,2,9,7,1,2,2,2,1,1,3,6,5,2,2,3,1,1
24,2,14,2,9,7,2,3,2,2,2,1,3,1,1,1,2,3,1,2
24,2,14,2,9,7,1,3,2,2,1,3,3,1,5,2,2,3,2,2
23,2,12,1,9,7,1,2,2,2,2,3,1,1,1,2,2,3,1,2
20,2,5,2,5,7,2,3,2,3,2,3,1,1,5,2,2,3,2,2
22,2,7,3,4,7,2,2,2,3,2,2,3,1,1,2,2,3,2,2
20,2,8,3,3,7,1,2,2,3,2,3,3,1,1,2,2,3,1,2
21,2,5,2,5,7,1,2,2,3,2,3,3,1,1,2,2,3,2,2
22,2,10,4,5,6,1,2,2,3,2,3,3,6,1,2,2,3,4,2
20,2,8,3,4,1,1,3,2,3,2,3,3,1,5,2,2,4,3,3
21,2,10,4,3,4,1,2,2,3,2,3,3,2,5,2,2,5,1,2
20,2,5,2,3,1,1,2,2,3,2,3,3,1,1,2,2,3,1,2
20,2,8,3,4,4,2,2,2,3,2,3,3,1,5,2,2,3,1,3
24,2,11,4,4,6,1,3,2,3,2,1,3,1,1,2,2,3,1,2
20,2,2,1,3,4,2,2,2,3,2,3,3,1,5,1,2,3,1,2
22,2,4,1,3,4,2,2,2,3,2,3,1,1,1,2,2,3,1,2
22,2,1,1,4,4,1,2,2,3,2,3,3,1,5,2,2,3,1,1
23,2,1,1,3,4,2,2,1,3,1,1,3,1,5,2,2,3,1,2
24,2,2,1,5,6,1,2,2,3,2,3,3,1,5,2,2,3,1,2
25,2,16,3,9,4,1,2,2,2,1,3,3,1,5,2,2,3,1,1
22,2,1,1,5,6,2,2,2,3,2,3,3,2,1,1,3,3,2,2
21,2,11,4,4,6,2,2,2,3,2,3,1,6,2,1,2,3,4,3
23,2,1,1,5,6,2,2,2,3,2,3,3,1,5,2,2,3,1,2
23,2,1,1,5,4,2,2,2,3,2,3,3,1,5,2,2,3,1,2
21,2,8,3,4,3,1,2,2,3,2,3,1,2,2,1,2,3,4,3
21,2,10,4,4,6,2,2,2,3,2,3,3,1,2,2,2,3,1,2
24,2,3,1,5,1,1,2,2,3,2,1,3,2,2,2,3,4,3,3
22,2,3,1,5,4,1,3,2,3,2,3,1,2,1,2,2,3,1,2
23,2,8,3,5,3,2,2,2,3,2,2,3,7,1,2,1,3,1,3
23,2,10,4,6,6,2,2,2,3,2,3,3,6,1,2,2,3,4,3
24,2,1,1,4,5,1,2,2,3,2,3,3,2,5,2,2,3,2,2
25,2,16,1,9,4,1,2,2,2,2,3,3,2,5,2,2,3,1,2
21,2,3,1,4,6,2,2,2,3,2,3,3,2,2,2,2,3,2,3
23,2,4,1,7,4,1,2,2,3,2,3,3,2,2,2,2,3,1,2
23,2,2,1,4,6,1,2,2,3,2,3,3,2,1,2,2,3,1,2
20,2,4,1,4,4,2,2,2,3,2,3,3,2,1,2,2,3,1,3
22,2,2,1,5,3,2,2,2,3,2,3,3,1,2,2,3,3,1,3
23,2,2,1,3,6,1,3,1,2,2,3,3,2,1,1,2,4,3,2
22,2,7,2,5,6,1,2,2,3,2,3,3,2,5,2,2,3,2,3
23,2,3,1,4,4,1,2,2,3,2,3,3,2,5,2,2,3,1,2
21,2,4,1,4,4,1,2,2,3,2,1,3,1,2,2,2,3,1,3
25,2,14,2,9,4,1,2,2,2,2,3,3,2,5,2,2,3,1,2
23,2,4,1,6,5,1,2,2,3,2,3,3,2,1,2,2,3,1,3
22,2,3,1,6,4,1,2,2,3,2,3,3,2,2,1,2,3,4,2
21,2,4,1,5,4,2,2,2,4,2,3,3,2,2,2,2,3,1,2
21,2,2,1,3,6,1,2,2,3,2,3,3,2,1,2,2,3,1,2
22,2,1,1,3,6,2,2,2,3,2,3,3,2,1,2,2,3,1,3
22,2,3,1,4,4,2,2,2,3,2,3,3,2,1,2,2,3,1,3
24,2,4,1,5,6,1,2,2,3,2,3,3,2,5,2,2,3,1,2
23,2,3,1,3,1,2,2,2,3,2,3,3,2,1,2,2,3,2,2
34,1,5,2,4,7,1,3,1,3,2,3,3,6,5,2,3,3,1,2
21,2,8,3,4,7,2,2,2,3,2,3,1,6,5,2,2,3,1,2
20,2,5,2,4,7,2,3,2,3,2,3,3,2,1,2,2,3,1,2
21,2,7,3,5,7,1,2,2,3,2,3,3,6,2,2,3,3,2,3
21,2,1,1,7,4,2,2,2,3,2,3,3,2,1,2,2,3,1,3
20,2,3,1,4,4,2,3,2,3,2,3,3,2,1,2,2,3,1,2
22,2,3,1,4,6,2,2,2,3,2,3,3,1,1,2,2,3,1,2
21,2,5,2,4,6,1,2,2,3,2,3,3,2,1,2,2,3,1,2
23,2,14,2,9,4,1,2,2,2,2,3,3,2,1,2,2,3,2,2
21,2,5,2,3,3,2,2,2,3,1,1,3,2,1,2,2,3,1,3
20,2,8,3,4,7,2,2,2,3,2,3,3,2,1,2,2,3,1,3
20,2,2,1,5,6,2,2,1,3,2,3,3,1,1,2,2,3,3,3
21,2,8,3,6,6,2,2,2,3,2,3,3,1,1,2,2,3,1,3
22,2,4,1,7,4,1,2,2,3,2,3,1,2,1,1,2,3,4,2
22,2,4,1,5,7,1,2,1,3,2,3,3,1,1,2,2,3,2,2
21,2,3,1,4,7,2,2,2,3,2,3,1,1,1,1,2,3,1,2
20,2,1,1,4,3,2,2,2,3,1,3,3,1,1,2,2,3,1,3
26,1,7,3,3,7,1,1,1,3,2,3,3,1,7,1,1,3,11,2
30,1,7,3,3,7,1,3,1,5,2,1,2,1,1,2,2,3,1,3
40,1,7,3,3,7,1,3,1,5,2,1,1,1,4,2,2,3,11,2
36,1,7,3,3,7,1,2,2,3,2,3,3,1,6,2,2,3,1,3
26,1,7,2,3,7,1,1,2,3,2,3,3,1,7,2,1,3,11,2
27,1,5,2,7,7,2,1,2,5,3,2,2,6,6,2,2,5,1,2
28,1,5,2,7,7,1,3,1,4,2,1,1,1,4,2,2,3,1,1
33,1,5,2,8,7,1,2,2,4,2,1,3,7,6,1,1,2,11,2
36,1,5,2,7,7,1,3,1,5,2,3,3,2,4,2,2,3,1,2
21,1,5,2,7,7,2,3,1,4,2,3,1,2,2,2,2,3,1,1
36,1,5,2,7,7,1,2,2,2,2,3,2,7,4,2,2,1,3,3
25,1,5,2,8,7,2,2,1,4,1,1,1,1,6,2,3,1,11,1
41,1,5,2,8,7,1,2,1,3,2,1,1,6,6,1,2,3,1,1
